600874创业环保,2022-04-08,0.06,0.06,0.08
603639海利尔,2022-04-08,0.06,0.07,0.09
000796凯撒旅业,2022-04-08,0.06,0.05,0.14
600629华建集团,2022-04-08,0.06,0.07,0.08
002414高德红外,2022-04-08,0.06,0.03,0.05
600569安阳钢铁,2022-04-08,0.06,0.08,0.14
601002晋亿实业,2022-04-08,0.06,0.05,0.1
601958金钼股份,2022-04-08,0.06,0.05,0.07
000900现代投资,2022-04-08,0.06,0.05,0.06
000928中钢国际,2022-04-08,0.06,0.06,0.09
600208新湖中宝,2022-04-08,0.06,0.06,0.12
603069海汽集团,2022-04-08,0.06,0.05,0.07
002802洪汇新材,2022-04-08,0.06,0.06,0.09
601606长城军工,2022-04-08,0.06,0.04,0.05
600176中国巨石,2022-04-08,0.06,0.06,0.07
600230沧州大化,2022-04-08,0.06,0.06,0.09
600547山东黄金,2022-04-08,0.06,0.05,0.06
603778乾景园林,2022-04-08,0.06,0.08,0.1
002062宏润建设,2022-04-08,0.06,0.03,0.06
600798宁波海运,2022-04-08,0.06,0.05,0.1
600284浦东建设,2022-04-08,0.06,0.04,0.05
000528柳    工,2022-04-08,0.06,0.04,0.06
601007金陵饭店,2022-04-08,0.06,0.07,0.15
000912泸天化,2022-04-08,0.06,0.06,0.09
603159上海亚虹,2022-04-08,0.05,0.07,0.13
002136安 纳 达,2022-04-08,0.05,0.07,0.09
601069西部黄金,2022-04-08,0.05,0.05,0.07
600995文山电力,2022-04-08,0.05,0.06,0.07
600367红星发展,2022-04-08,0.05,0.07,0.1
002822中装建设,2022-04-08,0.05,0.06,0.08
600246万通发展,2022-04-08,0.05,0.04,0.06
603843正平股份,2022-04-08,0.05,0.09,0.11
601789宁波建工,2022-04-08,0.05,0.05,0.09
603856东宏股份,2022-04-08,0.05,0.05,0.07
601686友发集团,2022-04-08,0.05,0.05,0.06
002258利尔化学,2022-04-08,0.05,0.05,0.08
603596伯特利,2022-04-08,0.05,0.05,0.1
600727鲁北化工,2022-04-08,0.05,0.05,0.08
000755山西路桥,2022-04-08,0.05,0.05,0.05
003002壶化股份,2022-04-08,0.05,0.06,0.1
002061浙江交科,2022-04-08,0.05,0.03,0.05
002827高争民爆,2022-04-08,0.05,0.04,0.07
000553安道麦A,2022-04-08,0.05,0.04,0.06
000630铜陵有色,2022-04-08,0.05,0.05,0.1
601800中国交建,2022-04-08,0.05,0.03,0.04
603949雪龙集团,2022-04-08,0.05,0.04,0.06
600606绿地控股,2022-04-08,0.05,0.05,0.11
600096云天化,2022-04-08,0.05,0.04,0.09
002097山河智能,2022-04-08,0.05,0.05,0.06
600328中盐化工,2022-04-08,0.05,0.05,0.08
601101昊华能源,2022-04-08,0.05,0.04,0.09
000031大悦城,2022-04-08,0.05,0.03,0.08
002431棕榈股份,2022-04-08,0.05,0.04,0.05
600075新疆天业,2022-04-08,0.05,0.05,0.07
600489中金黄金,2022-04-08,0.05,0.04,0.05
